 frequency      v(VOUT1)       v(VOUT1)      
 1.0000000e+00 -3.0970989e-02  4.1607954e-10 
 1.2589254e+00 -3.0970989e-02  5.2381311e-10 
 1.5848932e+00 -3.0970989e-02  6.5944163e-10 
 1.9952623e+00 -3.0970989e-02  8.3018782e-10 
 2.5118864e+00 -3.0970989e-02  1.0451445e-09 
 3.1622777e+00 -3.0970989e-02  1.3157590e-09 
 3.9810717e+00 -3.0970989e-02  1.6564425e-09 
 5.0118723e+00 -3.0970989e-02  2.0853375e-09 
 6.3095734e+00 -3.0970989e-02  2.6252844e-09 
 7.9432823e+00 -3.0970989e-02  3.3050373e-09 
 1.0000000e+01 -3.0970989e-02  4.1607954e-09 
 1.2589254e+01 -3.0970989e-02  5.2381311e-09 
 1.5848932e+01 -3.0970989e-02  6.5944163e-09 
 1.9952623e+01 -3.0970989e-02  8.3018782e-09 
 2.5118864e+01 -3.0970989e-02  1.0451445e-08 
 3.1622777e+01 -3.0970989e-02  1.3157590e-08 
 3.9810717e+01 -3.0970989e-02  1.6564425e-08 
 5.0118723e+01 -3.0970989e-02  2.0853375e-08 
 6.3095734e+01 -3.0970989e-02  2.6252844e-08 
 7.9432823e+01 -3.0970989e-02  3.3050373e-08 
 1.0000000e+02 -3.0970989e-02  4.1607954e-08 
 1.2589254e+02 -3.0970989e-02  5.2381311e-08 
 1.5848932e+02 -3.0970989e-02  6.5944163e-08 
 1.9952623e+02 -3.0970989e-02  8.3018782e-08 
 2.5118864e+02 -3.0970989e-02  1.0451445e-07 
 3.1622777e+02 -3.0970989e-02  1.3157590e-07 
 3.9810717e+02 -3.0970989e-02  1.6564425e-07 
 5.0118723e+02 -3.0970989e-02  2.0853375e-07 
 6.3095734e+02 -3.0970989e-02  2.6252844e-07 
 7.9432823e+02 -3.0970989e-02  3.3050373e-07 
 1.0000000e+03 -3.0970989e-02  4.1607954e-07 
 1.2589254e+03 -3.0970989e-02  5.2381311e-07 
 1.5848932e+03 -3.0970989e-02  6.5944163e-07 
 1.9952623e+03 -3.0970989e-02  8.3018782e-07 
 2.5118864e+03 -3.0970989e-02  1.0451445e-06 
 3.1622777e+03 -3.0970989e-02  1.3157590e-06 
 3.9810717e+03 -3.0970989e-02  1.6564425e-06 
 5.0118723e+03 -3.0970989e-02  2.0853375e-06 
 6.3095734e+03 -3.0970989e-02  2.6252844e-06 
 7.9432823e+03 -3.0970989e-02  3.3050372e-06 
 1.0000000e+04 -3.0970989e-02  4.1607953e-06 
 1.2589254e+04 -3.0970988e-02  5.2381309e-06 
 1.5848932e+04 -3.0970988e-02  6.5944160e-06 
 1.9952623e+04 -3.0970987e-02  8.3018777e-06 
 2.5118864e+04 -3.0970986e-02  1.0451444e-05 
 3.1622777e+04 -3.0970984e-02  1.3157588e-05 
 3.9810717e+04 -3.0970980e-02  1.6564420e-05 
 5.0118723e+04 -3.0970975e-02  2.0853366e-05 
 6.3095734e+04 -3.0970967e-02  2.6252826e-05 
 7.9432823e+04 -3.0970955e-02  3.3050336e-05 
 1.0000000e+05 -3.0970934e-02  4.1607881e-05 
 1.2589254e+05 -3.0970902e-02  5.2381166e-05 
 1.5848932e+05 -3.0970851e-02  6.5943874e-05 
 1.9952623e+05 -3.0970771e-02  8.3018207e-05 
 2.5118864e+05 -3.0970643e-02  1.0451331e-04 
 3.1622777e+05 -3.0970440e-02  1.3157361e-04 
 3.9810717e+05 -3.0970119e-02  1.6563967e-04 
 5.0118723e+05 -3.0969610e-02  2.0852463e-04 
 6.3095734e+05 -3.0968803e-02  2.6251023e-04 
 7.9432823e+05 -3.0967524e-02  3.3046740e-04 
 1.0000000e+06 -3.0965498e-02  4.1600706e-04 
 1.2589254e+06 -3.0962288e-02  5.2366851e-04 
 1.5848932e+06 -3.0957200e-02  6.5915317e-04 
 1.9952623e+06 -3.0949141e-02  8.2961243e-04 
 2.5118864e+06 -3.0936376e-02  1.0439969e-03 
 3.1622777e+06 -3.0916166e-02  1.3134707e-03 
 3.9810717e+06 -3.0884188e-02  1.6518814e-03 
 5.0118723e+06 -3.0833640e-02  2.0762515e-03 
 6.3095734e+06 -3.0753859e-02  2.6072016e-03 
 7.9432823e+06 -3.0628241e-02  3.2691020e-03 
 1.0000000e+07 -3.0431203e-02  4.0895482e-03 
 1.2589254e+07 -3.0123969e-02  5.0973839e-03 
 1.5848932e+07 -2.9649324e-02  6.3179339e-03 
 1.9952623e+07 -2.8926430e-02  7.7634276e-03 
 2.5118864e+07 -2.7849015e-02  9.4163616e-03 
 3.1622777e+07 -2.6293919e-02  1.1205409e-02 
 3.9810717e+07 -2.4150238e-02  1.2980339e-02 
 5.0118723e+07 -2.1375217e-02  1.4505533e-02 
 6.3095734e+07 -1.8061218e-02  1.5501450e-02 
 7.9432823e+07 -1.4464279e-02  1.5743972e-02 
 1.0000000e+08 -1.0943477e-02  1.5173326e-02 
 1.2589254e+08 -7.8290289e-03  1.3926883e-02 
 1.5848932e+08 -5.3113221e-03  1.2266052e-02 
 1.9952623e+08 -3.4201089e-03  1.0461386e-02 
 2.5118864e+08 -2.0763974e-03  8.7150585e-03 
 3.1622777e+08 -1.1589913e-03  7.1424104e-03 
 3.9810717e+08 -5.4956011e-04  5.7893965e-03 
 5.0118723e+08 -1.5204711e-04  4.6587708e-03 
 6.3095734e+08  1.0415629e-04  3.7313561e-03 
 7.9432823e+08  2.6801303e-04  2.9795489e-03 
 1.0000000e+09  3.7229173e-04  2.3746389e-03 
 1.2589254e+09  4.3844610e-04  1.8902222e-03 
 1.5848932e+09  4.8033057e-04  1.5034570e-03 
 1.9952623e+09  5.0681541e-04  1.1952413e-03 
 2.5118864e+09  5.2354917e-04  9.4991529e-04 
 3.1622777e+09  5.3411662e-04  7.5479349e-04 
 3.9810717e+09  5.4078788e-04  5.9967542e-04 
 5.0118723e+09  5.4499862e-04  4.7639608e-04 
 6.3095734e+09  5.4765599e-04  3.7843834e-04 
 7.9432823e+09  5.4933291e-04  3.0060964e-04 
 1.0000000e+10  5.5039106e-04  2.3877738e-04 
 1.2589254e+10  5.5105875e-04  1.8965482e-04 
 1.5848932e+10  5.5148004e-04  1.5062902e-04 
 1.9952623e+10  5.5174587e-04  1.1962324e-04 
 2.5118864e+10  5.5191359e-04  9.4987074e-05 
 3.1622777e+10  5.5201941e-04  7.5408929e-05 
 3.9810717e+10  5.5208617e-04  5.9846392e-05 
 5.0118723e+10  5.5212828e-04  4.7470798e-05 
 6.3095734e+10  5.5215483e-04  3.7623148e-05 
 7.9432823e+10  5.5217155e-04  2.9779044e-05 
 1.0000000e+11  5.5218205e-04  2.3520771e-05 
