 time           v(VOUT1)      
 0.0000000e+00  1.1862070e+00 
 5.0000000e-10  1.1862070e+00 
 1.0000000e-09  1.1862070e+00 
 2.0000000e-09  1.1862070e+00 
 4.0000000e-09  1.1862070e+00 
 8.0000000e-09  1.1862069e+00 
 1.6000000e-08  1.1862069e+00 
 3.2000000e-08  1.1862069e+00 
 6.4000000e-08  1.1862069e+00 
 1.1400000e-07  1.1862069e+00 
 1.6400000e-07  1.1862069e+00 
 2.1400000e-07  1.1862069e+00 
 2.6400000e-07  1.1862069e+00 
 3.1400000e-07  1.1862069e+00 
 3.6400000e-07  1.1862069e+00 
 4.1400000e-07  1.1862069e+00 
 4.6400000e-07  1.1862069e+00 
 5.0000000e-07  1.1862069e+00 
 5.0500000e-07  1.1863926e+00 
 5.1500000e-07  1.1870303e+00 
 5.3500000e-07  1.1892401e+00 
 5.7500000e-07  1.1939021e+00 
 6.2500000e-07  1.1975265e+00 
 6.7500000e-07  1.1989731e+00 
 7.2500000e-07  1.1995182e+00 
 7.7500000e-07  1.1997406e+00 
 8.2500000e-07  1.1995388e+00 
 8.7500000e-07  1.1946734e+00 
 9.2500000e-07  1.1327136e+00 
 9.7500000e-07  6.0447496e-01 
 1.0000000e-06  7.3392892e-02 
 1.0008341e-06  5.7084925e-02 
 1.0025023e-06  3.1472902e-02 
 1.0058387e-06  9.5201540e-03 
 1.0071335e-06  7.5245129e-03 
 1.0088074e-06  6.2297935e-03 
 1.0107606e-06  5.6017156e-03 
 1.0146672e-06  5.2498448e-03 
 1.0190305e-06  5.2373725e-03 
 1.0272746e-06  5.2399109e-03 
 1.0400590e-06  5.2394233e-03 
 1.0656278e-06  5.2397069e-03 
 1.1156278e-06  5.2394883e-03 
 1.1656278e-06  5.2396730e-03 
 1.2156278e-06  5.2395170e-03 
 1.2656278e-06  5.2396488e-03 
 1.3156278e-06  5.2395374e-03 
 1.3656278e-06  5.2396315e-03 
 1.4156278e-06  5.2395520e-03 
 1.4656278e-06  5.2396192e-03 
 1.5156278e-06  5.2395624e-03 
 1.5656278e-06  5.2396104e-03 
 1.6156278e-06  5.2395699e-03 
 1.6656278e-06  5.2396041e-03 
 1.7156278e-06  5.2395752e-03 
 1.7656278e-06  5.2395996e-03 
 1.8156278e-06  5.2395790e-03 
 1.8656278e-06  5.2395964e-03 
 1.9156278e-06  5.2395817e-03 
 1.9656278e-06  5.2395941e-03 
 2.0156278e-06  5.2395836e-03 
 2.0656278e-06  5.2395925e-03 
 2.1156278e-06  5.2395850e-03 
 2.1656278e-06  5.2395913e-03 
 2.2156278e-06  5.2395860e-03 
 2.2656278e-06  5.2395905e-03 
 2.3156278e-06  5.2395867e-03 
 2.3656278e-06  5.2395899e-03 
 2.4156278e-06  5.2395872e-03 
 2.4656278e-06  5.2395895e-03 
 2.5156278e-06  5.2395875e-03 
 2.5656278e-06  5.2395892e-03 
 2.6156278e-06  5.2395878e-03 
 2.6656278e-06  5.2395890e-03 
 2.7156278e-06  5.2395880e-03 
 2.7656278e-06  5.2395888e-03 
 2.8156278e-06  5.2395881e-03 
 2.8656278e-06  5.2395887e-03 
 2.9156278e-06  5.2395882e-03 
 2.9656278e-06  5.2395886e-03 
 3.0156278e-06  5.2395883e-03 
 3.0656278e-06  5.2395886e-03 
 3.1156278e-06  5.2395883e-03 
 3.1656278e-06  5.2395885e-03 
 3.2156278e-06  5.2395883e-03 
 3.2656278e-06  5.2395885e-03 
 3.3156278e-06  5.2395884e-03 
 3.3656278e-06  5.2395885e-03 
 3.4156278e-06  5.2395884e-03 
 3.4656278e-06  5.2395885e-03 
 3.5156278e-06  5.2395884e-03 
 3.5656278e-06  5.2395885e-03 
 3.6156278e-06  5.2395884e-03 
 3.6656278e-06  5.2395884e-03 
 3.7156278e-06  5.2395884e-03 
 3.7656278e-06  5.2395884e-03 
 3.8156278e-06  5.2395884e-03 
 3.8656278e-06  5.2395884e-03 
 3.9156278e-06  5.2395884e-03 
 3.9656278e-06  5.2395884e-03 
 4.0156278e-06  5.2395884e-03 
 4.0656278e-06  5.2395884e-03 
 4.1156278e-06  5.2395884e-03 
 4.1656278e-06  5.2395884e-03 
 4.2156278e-06  5.2395884e-03 
 4.2656278e-06  5.2395884e-03 
 4.3156278e-06  5.2395884e-03 
 4.3656278e-06  5.2395884e-03 
 4.4156278e-06  5.2395884e-03 
 4.4656278e-06  5.2395884e-03 
 4.5156278e-06  5.2395884e-03 
 4.5656278e-06  5.2395884e-03 
 4.6156278e-06  5.2395884e-03 
 4.6656278e-06  5.2395884e-03 
 4.7156278e-06  5.2395884e-03 
 4.7656278e-06  5.2395884e-03 
 4.8156278e-06  5.2395884e-03 
 4.8656278e-06  5.2395884e-03 
 4.9156278e-06  5.2395884e-03 
 4.9656278e-06  5.2395884e-03 
 5.0156278e-06  5.2395884e-03 
 5.0656278e-06  5.2395884e-03 
 5.1156278e-06  5.2395884e-03 
 5.1656278e-06  5.2395884e-03 
 5.2156278e-06  5.2395884e-03 
 5.2656278e-06  5.2395884e-03 
 5.3156278e-06  5.2395884e-03 
 5.3656278e-06  5.2395884e-03 
 5.4156278e-06  5.2395884e-03 
 5.4656278e-06  5.2395884e-03 
 5.5000000e-06  5.2395884e-03 
 5.5050000e-06  5.5141447e-03 
 5.5150000e-06  6.3595793e-03 
 5.5350000e-06  9.4550682e-03 
 5.5750000e-06  3.0283958e-02 
 5.6114053e-06  8.2807216e-02 
 5.6614053e-06  1.9243409e-01 
 5.7114053e-06  3.0838637e-01 
 5.7614053e-06  4.2118416e-01 
 5.8114053e-06  5.3039762e-01 
 5.8614053e-06  6.3614890e-01 
 5.9114053e-06  7.3849684e-01 
 5.9614053e-06  8.3733913e-01 
 6.0000000e-06  9.1093079e-01 
 6.0050000e-06  9.2025356e-01 
 6.0150000e-06  9.3880922e-01 
 6.0350000e-06  9.7533700e-01 
 6.0750000e-06  1.0452098e+00 
 6.1250000e-06  1.1192929e+00 
 6.1750000e-06  1.1646943e+00 
 6.2250000e-06  1.1814691e+00 
 6.2750000e-06  1.1853446e+00 
 6.3250000e-06  1.1860557e+00 
 6.3750000e-06  1.1861813e+00 
 6.4250000e-06  1.1862032e+00 
 6.4750000e-06  1.1862063e+00 
 6.5250000e-06  1.1862068e+00 
 6.5750000e-06  1.1862069e+00 
 6.6250000e-06  1.1862069e+00 
 6.6750000e-06  1.1862069e+00 
 6.7250000e-06  1.1862069e+00 
 6.7750000e-06  1.1862069e+00 
 6.8250000e-06  1.1862069e+00 
 6.8750000e-06  1.1862069e+00 
 6.9250000e-06  1.1862069e+00 
 6.9750000e-06  1.1862069e+00 
 7.0250000e-06  1.1862069e+00 
 7.0750000e-06  1.1862069e+00 
 7.1250000e-06  1.1862069e+00 
 7.1750000e-06  1.1862069e+00 
 7.2250000e-06  1.1862069e+00 
 7.2750000e-06  1.1862069e+00 
 7.3250000e-06  1.1862069e+00 
 7.3750000e-06  1.1862069e+00 
 7.4250000e-06  1.1862069e+00 
 7.4750000e-06  1.1862069e+00 
 7.5250000e-06  1.1862069e+00 
 7.5750000e-06  1.1862069e+00 
 7.6250000e-06  1.1862069e+00 
 7.6750000e-06  1.1862069e+00 
 7.7250000e-06  1.1862069e+00 
 7.7750000e-06  1.1862069e+00 
 7.8250000e-06  1.1862069e+00 
 7.8750000e-06  1.1862069e+00 
 7.9250000e-06  1.1862069e+00 
 7.9750000e-06  1.1862069e+00 
 8.0250000e-06  1.1862069e+00 
 8.0750000e-06  1.1862069e+00 
 8.1250000e-06  1.1862069e+00 
 8.1750000e-06  1.1862069e+00 
 8.2250000e-06  1.1862069e+00 
 8.2750000e-06  1.1862069e+00 
 8.3250000e-06  1.1862069e+00 
 8.3750000e-06  1.1862069e+00 
 8.4250000e-06  1.1862069e+00 
 8.4750000e-06  1.1862069e+00 
 8.5250000e-06  1.1862069e+00 
 8.5750000e-06  1.1862069e+00 
 8.6250000e-06  1.1862069e+00 
 8.6750000e-06  1.1862069e+00 
 8.7250000e-06  1.1862069e+00 
 8.7750000e-06  1.1862069e+00 
 8.8250000e-06  1.1862069e+00 
 8.8750000e-06  1.1862069e+00 
 8.9250000e-06  1.1862069e+00 
 8.9750000e-06  1.1862069e+00 
 9.0250000e-06  1.1862069e+00 
 9.0750000e-06  1.1862069e+00 
 9.1250000e-06  1.1862069e+00 
 9.1750000e-06  1.1862069e+00 
 9.2250000e-06  1.1862069e+00 
 9.2750000e-06  1.1862069e+00 
 9.3250000e-06  1.1862069e+00 
 9.3750000e-06  1.1862069e+00 
 9.4250000e-06  1.1862069e+00 
 9.4750000e-06  1.1862069e+00 
 9.5250000e-06  1.1862069e+00 
 9.5750000e-06  1.1862069e+00 
 9.6250000e-06  1.1862069e+00 
 9.6750000e-06  1.1862069e+00 
 9.7250000e-06  1.1862069e+00 
 9.7750000e-06  1.1862069e+00 
 9.8250000e-06  1.1862069e+00 
 9.8750000e-06  1.1862069e+00 
 9.9250000e-06  1.1862069e+00 
 9.9750000e-06  1.1862069e+00 
 1.0025000e-05  1.1862069e+00 
 1.0075000e-05  1.1862069e+00 
 1.0125000e-05  1.1862069e+00 
 1.0175000e-05  1.1862069e+00 
 1.0225000e-05  1.1862069e+00 
 1.0275000e-05  1.1862069e+00 
 1.0325000e-05  1.1862069e+00 
 1.0375000e-05  1.1862069e+00 
 1.0425000e-05  1.1862069e+00 
 1.0475000e-05  1.1862069e+00 
 1.0500000e-05  1.1862069e+00 
 1.0505000e-05  1.1863926e+00 
 1.0515000e-05  1.1870303e+00 
 1.0535000e-05  1.1892401e+00 
 1.0575000e-05  1.1939021e+00 
 1.0625000e-05  1.1975265e+00 
 1.0675000e-05  1.1989731e+00 
 1.0725000e-05  1.1995182e+00 
 1.0775000e-05  1.1997406e+00 
 1.0825000e-05  1.1995388e+00 
 1.0875000e-05  1.1946734e+00 
 1.0925000e-05  1.1327136e+00 
 1.0975000e-05  6.0447496e-01 
 1.1000000e-05  7.3392892e-02 
 1.1000834e-05  5.7084925e-02 
 1.1002502e-05  3.1472902e-02 
 1.1005839e-05  9.5201540e-03 
 1.1007133e-05  7.5245129e-03 
 1.1008807e-05  6.2297935e-03 
 1.1010761e-05  5.6017156e-03 
 1.1014667e-05  5.2498448e-03 
 1.1019030e-05  5.2373725e-03 
 1.1027275e-05  5.2399109e-03 
 1.1040059e-05  5.2394233e-03 
 1.1065628e-05  5.2397069e-03 
 1.1115628e-05  5.2394883e-03 
 1.1165628e-05  5.2396730e-03 
 1.1215628e-05  5.2395170e-03 
 1.1265628e-05  5.2396488e-03 
 1.1315628e-05  5.2395374e-03 
 1.1365628e-05  5.2396315e-03 
 1.1415628e-05  5.2395520e-03 
 1.1465628e-05  5.2396192e-03 
 1.1515628e-05  5.2395624e-03 
 1.1565628e-05  5.2396104e-03 
 1.1615628e-05  5.2395699e-03 
 1.1665628e-05  5.2396041e-03 
 1.1715628e-05  5.2395752e-03 
 1.1765628e-05  5.2395996e-03 
 1.1815628e-05  5.2395790e-03 
 1.1865628e-05  5.2395964e-03 
 1.1915628e-05  5.2395817e-03 
 1.1965628e-05  5.2395941e-03 
 1.2015628e-05  5.2395836e-03 
 1.2065628e-05  5.2395925e-03 
 1.2115628e-05  5.2395850e-03 
 1.2165628e-05  5.2395913e-03 
 1.2215628e-05  5.2395860e-03 
 1.2265628e-05  5.2395905e-03 
 1.2315628e-05  5.2395867e-03 
 1.2365628e-05  5.2395899e-03 
 1.2415628e-05  5.2395872e-03 
 1.2465628e-05  5.2395895e-03 
 1.2515628e-05  5.2395875e-03 
 1.2565628e-05  5.2395892e-03 
 1.2615628e-05  5.2395878e-03 
 1.2665628e-05  5.2395890e-03 
 1.2715628e-05  5.2395880e-03 
 1.2765628e-05  5.2395888e-03 
 1.2815628e-05  5.2395881e-03 
 1.2865628e-05  5.2395887e-03 
 1.2915628e-05  5.2395882e-03 
 1.2965628e-05  5.2395886e-03 
 1.3015628e-05  5.2395883e-03 
 1.3065628e-05  5.2395886e-03 
 1.3115628e-05  5.2395883e-03 
 1.3165628e-05  5.2395885e-03 
 1.3215628e-05  5.2395883e-03 
 1.3265628e-05  5.2395885e-03 
 1.3315628e-05  5.2395884e-03 
 1.3365628e-05  5.2395885e-03 
 1.3415628e-05  5.2395884e-03 
 1.3465628e-05  5.2395885e-03 
 1.3515628e-05  5.2395884e-03 
 1.3565628e-05  5.2395885e-03 
 1.3615628e-05  5.2395884e-03 
 1.3665628e-05  5.2395884e-03 
 1.3715628e-05  5.2395884e-03 
 1.3765628e-05  5.2395884e-03 
 1.3815628e-05  5.2395884e-03 
 1.3865628e-05  5.2395884e-03 
 1.3915628e-05  5.2395884e-03 
 1.3965628e-05  5.2395884e-03 
 1.4015628e-05  5.2395884e-03 
 1.4065628e-05  5.2395884e-03 
 1.4115628e-05  5.2395884e-03 
 1.4165628e-05  5.2395884e-03 
 1.4215628e-05  5.2395884e-03 
