 frequency   v(VOUT1)    v(VOUT1)   
 1.0000e+00 -3.9820e-05  1.2332e-13 
 1.2589e+00 -3.9820e-05  1.5525e-13 
 1.5849e+00 -3.9820e-05  1.9545e-13 
 1.9953e+00 -3.9820e-05  2.4606e-13 
 2.5119e+00 -3.9820e-05  3.0977e-13 
 3.1623e+00 -3.9820e-05  3.8998e-13 
 3.9811e+00 -3.9820e-05  4.9096e-13 
 5.0119e+00 -3.9820e-05  6.1808e-13 
 6.3096e+00 -3.9820e-05  7.7812e-13 
 7.9433e+00 -3.9820e-05  9.7959e-13 
 1.0000e+01 -3.9820e-05  1.2332e-12 
 1.2589e+01 -3.9820e-05  1.5525e-12 
 1.5849e+01 -3.9820e-05  1.9545e-12 
 1.9953e+01 -3.9820e-05  2.4606e-12 
 2.5119e+01 -3.9820e-05  3.0977e-12 
 3.1623e+01 -3.9820e-05  3.8998e-12 
 3.9811e+01 -3.9820e-05  4.9096e-12 
 5.0119e+01 -3.9820e-05  6.1808e-12 
 6.3096e+01 -3.9820e-05  7.7812e-12 
 7.9433e+01 -3.9820e-05  9.7959e-12 
 1.0000e+02 -3.9820e-05  1.2332e-11 
 1.2589e+02 -3.9820e-05  1.5525e-11 
 1.5849e+02 -3.9820e-05  1.9545e-11 
 1.9953e+02 -3.9820e-05  2.4606e-11 
 2.5119e+02 -3.9820e-05  3.0977e-11 
 3.1623e+02 -3.9820e-05  3.8998e-11 
 3.9811e+02 -3.9820e-05  4.9096e-11 
 5.0119e+02 -3.9820e-05  6.1808e-11 
 6.3096e+02 -3.9820e-05  7.7812e-11 
 7.9433e+02 -3.9820e-05  9.7959e-11 
 1.0000e+03 -3.9820e-05  1.2332e-10 
 1.2589e+03 -3.9820e-05  1.5525e-10 
 1.5849e+03 -3.9820e-05  1.9545e-10 
 1.9953e+03 -3.9820e-05  2.4606e-10 
 2.5119e+03 -3.9820e-05  3.0977e-10 
 3.1623e+03 -3.9820e-05  3.8998e-10 
 3.9811e+03 -3.9820e-05  4.9096e-10 
 5.0119e+03 -3.9820e-05  6.1808e-10 
 6.3096e+03 -3.9820e-05  7.7812e-10 
 7.9433e+03 -3.9820e-05  9.7959e-10 
 1.0000e+04 -3.9820e-05  1.2332e-09 
 1.2589e+04 -3.9820e-05  1.5525e-09 
 1.5849e+04 -3.9820e-05  1.9545e-09 
 1.9953e+04 -3.9820e-05  2.4606e-09 
 2.5119e+04 -3.9820e-05  3.0977e-09 
 3.1623e+04 -3.9820e-05  3.8998e-09 
 3.9811e+04 -3.9820e-05  4.9096e-09 
 5.0119e+04 -3.9820e-05  6.1809e-09 
 6.3096e+04 -3.9820e-05  7.7814e-09 
 7.9433e+04 -3.9820e-05  9.7963e-09 
 1.0000e+05 -3.9820e-05  1.2333e-08 
 1.2589e+05 -3.9820e-05  1.5527e-08 
 1.5849e+05 -3.9820e-05  1.9549e-08 
 1.9953e+05 -3.9820e-05  2.4613e-08 
 2.5119e+05 -3.9821e-05  3.0991e-08 
 3.1623e+05 -3.9822e-05  3.9025e-08 
 3.9811e+05 -3.9823e-05  4.9150e-08 
 5.0119e+05 -3.9826e-05  6.1917e-08 
 6.3096e+05 -3.9829e-05  7.8028e-08 
 7.9433e+05 -3.9835e-05  9.8391e-08 
 1.0000e+06 -3.9844e-05  1.2419e-07 
 1.2589e+06 -3.9859e-05  1.5697e-07 
 1.5849e+06 -3.9882e-05  1.9888e-07 
 1.9953e+06 -3.9918e-05  2.5289e-07 
 2.5119e+06 -3.9975e-05  3.2336e-07 
 3.1623e+06 -4.0065e-05  4.1697e-07 
 3.9811e+06 -4.0207e-05  5.4446e-07 
 5.0119e+06 -4.0427e-05  7.2372e-07 
 6.3096e+06 -4.0766e-05  9.8548e-07 
 7.9433e+06 -4.1281e-05  1.3830e-06 
 1.0000e+07 -4.2045e-05  2.0074e-06 
 1.2589e+07 -4.3140e-05  3.0090e-06 
 1.5849e+07 -4.4635e-05  4.6195e-06 
 1.9953e+07 -4.6540e-05  7.1601e-06 
 2.5119e+07 -4.8761e-05  1.1016e-05 
 3.1623e+07 -5.1081e-05  1.6574e-05 
 3.9811e+07 -5.3203e-05  2.4160e-05 
 5.0119e+07 -5.4833e-05  3.4040e-05 
 6.3096e+07 -5.5742e-05  4.6497e-05 
 7.9433e+07 -5.5746e-05  6.1924e-05 
 1.0000e+08 -5.4635e-05  8.0903e-05 
 1.2589e+08 -5.2068e-05  1.0423e-04 
 1.5849e+08 -4.7461e-05  1.3291e-04 
 1.9953e+08 -3.9853e-05  1.6814e-04 
 2.5119e+08 -2.7729e-05  2.1119e-04 
 3.1623e+08 -8.8008e-06  2.6325e-04 
 3.9811e+08  2.0227e-05  3.2505e-04 
 5.0119e+08  6.3779e-05  3.9619e-04 
 6.3096e+08  1.2717e-04  4.7414e-04 
 7.9433e+08  2.1553e-04  5.5314e-04 
 1.0000e+09  3.3162e-04  6.2355e-04 
 1.2589e+09  4.7282e-04  6.7324e-04 
 1.5849e+09  6.2933e-04  6.9144e-04 
 1.9953e+09  7.8591e-04  6.7372e-04 
 2.5119e+09  9.2729e-04  6.2445e-04 
 3.1623e+09  1.0436e-03  5.5438e-04 
 3.9811e+09  1.1322e-03  4.7566e-04 
 5.0119e+09  1.1958e-03  3.9797e-04 
 6.3096e+09  1.2396e-03  3.2711e-04 
 7.9433e+09  1.2687e-03  2.6567e-04 
 1.0000e+10  1.2879e-03  2.1406e-04 
