 frequency   noise1.inoise_spectrum
 1.0000e+00  4.0451e-05 
 1.2589e+00  3.8549e-05 
 1.5849e+00  3.6969e-05 
 1.9953e+00  3.5664e-05 
 2.5119e+00  3.4593e-05 
 3.1623e+00  3.3717e-05 
 3.9811e+00  3.3005e-05 
 5.0119e+00  3.2429e-05 
 6.3096e+00  3.1963e-05 
 7.9433e+00  3.1588e-05 
 1.0000e+01  3.1288e-05 
 1.2589e+01  3.1047e-05 
 1.5849e+01  3.0854e-05 
 1.9953e+01  3.0700e-05 
 2.5119e+01  3.0577e-05 
 3.1623e+01  3.0479e-05 
 3.9811e+01  3.0401e-05 
 5.0119e+01  3.0339e-05 
 6.3096e+01  3.0290e-05 
 7.9433e+01  3.0250e-05 
 1.0000e+02  3.0219e-05 
 1.2589e+02  3.0194e-05 
 1.5849e+02  3.0174e-05 
 1.9953e+02  3.0159e-05 
 2.5119e+02  3.0146e-05 
 3.1623e+02  3.0136e-05 
 3.9811e+02  3.0128e-05 
 5.0119e+02  3.0122e-05 
 6.3096e+02  3.0117e-05 
 7.9433e+02  3.0113e-05 
 1.0000e+03  3.0110e-05 
 1.2589e+03  3.0108e-05 
 1.5849e+03  3.0106e-05 
 1.9953e+03  3.0104e-05 
 2.5119e+03  3.0103e-05 
 3.1623e+03  3.0102e-05 
 3.9811e+03  3.0101e-05 
 5.0119e+03  3.0100e-05 
 6.3096e+03  3.0100e-05 
 7.9433e+03  3.0099e-05 
 1.0000e+04  3.0099e-05 
 1.2589e+04  3.0099e-05 
 1.5849e+04  3.0099e-05 
 1.9953e+04  3.0098e-05 
 2.5119e+04  3.0098e-05 
 3.1623e+04  3.0098e-05 
 3.9811e+04  3.0098e-05 
 5.0119e+04  3.0098e-05 
 6.3096e+04  3.0098e-05 
 7.9433e+04  3.0098e-05 
 1.0000e+05  3.0098e-05 
 1.2589e+05  3.0098e-05 
 1.5849e+05  3.0098e-05 
 1.9953e+05  3.0098e-05 
 2.5119e+05  3.0098e-05 
 3.1623e+05  3.0098e-05 
 3.9811e+05  3.0098e-05 
 5.0119e+05  3.0097e-05 
 6.3096e+05  3.0097e-05 
 7.9433e+05  3.0097e-05 
 1.0000e+06  3.0096e-05 
 1.2589e+06  3.0095e-05 
 1.5849e+06  3.0093e-05 
 1.9953e+06  3.0091e-05 
 2.5119e+06  3.0087e-05 
 3.1623e+06  3.0080e-05 
 3.9811e+06  3.0070e-05 
 5.0119e+06  3.0053e-05 
 6.3096e+06  3.0027e-05 
 7.9433e+06  2.9986e-05 
 1.0000e+07  2.9921e-05 
 1.2589e+07  2.9821e-05 
 1.5849e+07  2.9665e-05 
 1.9953e+07  2.9427e-05 
 2.5119e+07  2.9070e-05 
 3.1623e+07  2.8549e-05 
 3.9811e+07  2.7819e-05 
 5.0119e+07  2.6846e-05 
 6.3096e+07  2.5622e-05 
 7.9433e+07  2.4175e-05 
 1.0000e+08  2.2549e-05 
 1.2589e+08  2.0776e-05 
 1.5849e+08  1.8872e-05 
 1.9953e+08  1.6846e-05 
 2.5119e+08  1.4737e-05 
 3.1623e+08  1.2625e-05 
 3.9811e+08  1.0607e-05 
 5.0119e+08  8.7676e-06 
 6.3096e+08  7.1565e-06 
 7.9433e+08  5.7887e-06 
 1.0000e+09  4.6529e-06 
 1.2589e+09  3.7244e-06 
 1.5849e+09  2.9729e-06 
 1.9953e+09  2.3689e-06 
 2.5119e+09  1.8854e-06 
 3.1623e+09  1.4995e-06 
 3.9811e+09  1.1920e-06 
 5.0119e+09  9.4735e-07 
 6.3096e+09  7.5274e-07 
 7.9433e+09  5.9805e-07 
 1.0000e+10  4.7511e-07 
