 time        v(VIN1)     time        v(VOUT1)   
 0.0000e+00  6.0000e-01  0.0000e+00  1.2000e+00 
 1.0000e-14  6.0000e-01  1.0000e-14  1.2000e+00 
 2.0000e-14  6.0000e-01  2.0000e-14  1.2000e+00 
 4.0000e-14  6.0000e-01  4.0000e-14  1.2000e+00 
 8.0000e-14  6.0000e-01  8.0000e-14  1.2000e+00 
 1.6000e-13  6.0000e-01  1.6000e-13  1.2000e+00 
 3.2000e-13  6.0000e-01  3.2000e-13  1.2000e+00 
 6.4000e-13  6.0000e-01  6.4000e-13  1.2000e+00 
 1.0000e-12  6.0000e-01  1.0000e-12  1.2000e+00 
 1.0640e-12  6.0000e-01  1.0640e-12  1.2000e+00 
 1.1920e-12  6.0000e-01  1.1920e-12  1.2000e+00 
 1.4480e-12  6.0000e-01  1.4480e-12  1.2000e+00 
 1.9600e-12  6.0000e-01  1.9600e-12  1.2000e+00 
 2.9840e-12  6.0000e-01  2.9840e-12  1.2000e+00 
 5.0320e-12  6.0000e-01  5.0320e-12  1.2000e+00 
 9.1280e-12  6.0000e-01  9.1280e-12  1.2000e+00 
 1.7320e-11  6.0000e-01  1.7320e-11  1.2000e+00 
 3.3704e-11  6.0000e-01  3.3704e-11  1.2000e+00 
 6.6472e-11  6.0000e-01  6.6472e-11  1.2000e+00 
 1.3201e-10  6.0000e-01  1.3201e-10  1.2000e+00 
 2.6308e-10  6.0000e-01  2.6308e-10  1.2000e+00 
 5.2522e-10  6.0000e-01  5.2522e-10  1.2000e+00 
 1.0495e-09  6.0000e-01  1.0495e-09  1.2000e+00 
 2.0495e-09  6.0000e-01  2.0495e-09  1.2000e+00 
 3.0495e-09  6.0000e-01  3.0495e-09  1.2000e+00 
 4.0495e-09  6.0000e-01  4.0495e-09  1.2000e+00 
 5.0495e-09  6.0000e-01  5.0495e-09  1.2000e+00 
 6.0495e-09  6.0000e-01  6.0495e-09  1.2000e+00 
 7.0495e-09  6.0000e-01  7.0495e-09  1.2000e+00 
 8.0495e-09  6.0000e-01  8.0495e-09  1.2000e+00 
 9.0495e-09  6.0000e-01  9.0495e-09  1.2000e+00 
 1.0050e-08  6.0000e-01  1.0050e-08  1.2000e+00 
 1.1050e-08  6.0000e-01  1.1050e-08  1.2000e+00 
 1.2050e-08  6.0000e-01  1.2050e-08  1.2000e+00 
 1.3050e-08  6.0000e-01  1.3050e-08  1.2000e+00 
 1.4050e-08  6.0000e-01  1.4050e-08  1.2000e+00 
 1.5050e-08  6.0000e-01  1.5050e-08  1.2000e+00 
 1.6050e-08  6.0000e-01  1.6050e-08  1.2000e+00 
 1.7050e-08  6.0000e-01  1.7050e-08  1.2000e+00 
 1.8050e-08  6.0000e-01  1.8050e-08  1.2000e+00 
 1.9050e-08  6.0000e-01  1.9050e-08  1.2000e+00 
 2.0050e-08  6.0000e-01  2.0050e-08  1.2000e+00 
 2.1050e-08  6.0000e-01  2.1050e-08  1.2000e+00 
 2.2050e-08  6.0000e-01  2.2050e-08  1.2000e+00 
 2.3050e-08  6.0000e-01  2.3050e-08  1.2000e+00 
 2.4050e-08  6.0000e-01  2.4050e-08  1.2000e+00 
 2.5050e-08  6.0000e-01  2.5050e-08  1.2000e+00 
 2.6050e-08  6.0000e-01  2.6050e-08  1.2000e+00 
 2.7050e-08  6.0000e-01  2.7050e-08  1.2000e+00 
 2.8050e-08  6.0000e-01  2.8050e-08  1.2000e+00 
 2.9050e-08  6.0000e-01  2.9050e-08  1.2000e+00 
 3.0050e-08  6.0000e-01  3.0050e-08  1.2000e+00 
