 time        v(VOUT1)    time        v(VIN1)    
 0.0000e+00  1.2000e+00  0.0000e+00  5.5000e-01 
 1.0000e-12  1.2000e+00  1.0000e-12  5.5000e-01 
 2.0000e-12  1.2000e+00  2.0000e-12  5.5000e-01 
 4.0000e-12  1.2000e+00  4.0000e-12  5.5000e-01 
 8.0000e-12  1.2000e+00  8.0000e-12  5.5000e-01 
 1.6000e-11  1.2000e+00  1.6000e-11  5.5000e-01 
 3.2000e-11  1.2000e+00  3.2000e-11  5.5000e-01 
 6.4000e-11  1.2000e+00  6.4000e-11  5.5000e-01 
 1.2800e-10  1.2000e+00  1.2800e-10  5.5000e-01 
 2.2800e-10  1.2000e+00  2.2800e-10  5.5000e-01 
 3.2800e-10  1.2000e+00  3.2800e-10  5.5000e-01 
 4.2800e-10  1.2000e+00  4.2800e-10  5.5000e-01 
 5.2800e-10  1.2000e+00  5.2800e-10  5.5000e-01 
 6.2800e-10  1.2000e+00  6.2800e-10  5.5000e-01 
 7.2800e-10  1.2000e+00  7.2800e-10  5.5000e-01 
 8.2800e-10  1.2000e+00  8.2800e-10  5.5000e-01 
 9.2800e-10  1.2000e+00  9.2800e-10  5.5000e-01 
 1.0280e-09  1.2000e+00  1.0280e-09  5.5000e-01 
 1.1280e-09  1.2000e+00  1.1280e-09  5.5000e-01 
 1.2280e-09  1.2000e+00  1.2280e-09  5.5000e-01 
 1.3280e-09  1.2000e+00  1.3280e-09  5.5000e-01 
 1.4280e-09  1.2000e+00  1.4280e-09  5.5000e-01 
 1.5280e-09  1.2000e+00  1.5280e-09  5.5000e-01 
 1.6280e-09  1.2000e+00  1.6280e-09  5.5000e-01 
 1.7280e-09  1.2000e+00  1.7280e-09  5.5000e-01 
 1.8280e-09  1.2000e+00  1.8280e-09  5.5000e-01 
 1.9280e-09  1.2000e+00  1.9280e-09  5.5000e-01 
 2.0280e-09  1.2000e+00  2.0280e-09  5.5000e-01 
 2.1280e-09  1.2000e+00  2.1280e-09  5.5000e-01 
 2.2280e-09  1.2000e+00  2.2280e-09  5.5000e-01 
 2.3280e-09  1.2000e+00  2.3280e-09  5.5000e-01 
 2.4280e-09  1.2000e+00  2.4280e-09  5.5000e-01 
 2.5280e-09  1.2000e+00  2.5280e-09  5.5000e-01 
