 frequency   v(VOUT1)    v(VOUT1)   
 1.0000e+00 -3.0971e-02  4.8613e-11 
 1.2589e+00 -3.0971e-02  6.1200e-11 
 1.5849e+00 -3.0971e-02  7.7046e-11 
 1.9953e+00 -3.0971e-02  9.6996e-11 
 2.5119e+00 -3.0971e-02  1.2211e-10 
 3.1623e+00 -3.0971e-02  1.5373e-10 
 3.9811e+00 -3.0971e-02  1.9353e-10 
 5.0119e+00 -3.0971e-02  2.4364e-10 
 6.3096e+00 -3.0971e-02  3.0673e-10 
 7.9433e+00 -3.0971e-02  3.8615e-10 
 1.0000e+01 -3.0971e-02  4.8613e-10 
 1.2589e+01 -3.0971e-02  6.1200e-10 
 1.5849e+01 -3.0971e-02  7.7046e-10 
 1.9953e+01 -3.0971e-02  9.6996e-10 
 2.5119e+01 -3.0971e-02  1.2211e-09 
 3.1623e+01 -3.0971e-02  1.5373e-09 
 3.9811e+01 -3.0971e-02  1.9353e-09 
 5.0119e+01 -3.0971e-02  2.4364e-09 
 6.3096e+01 -3.0971e-02  3.0673e-09 
 7.9433e+01 -3.0971e-02  3.8615e-09 
 1.0000e+02 -3.0971e-02  4.8613e-09 
 1.2589e+02 -3.0971e-02  6.1200e-09 
 1.5849e+02 -3.0971e-02  7.7046e-09 
 1.9953e+02 -3.0971e-02  9.6996e-09 
 2.5119e+02 -3.0971e-02  1.2211e-08 
 3.1623e+02 -3.0971e-02  1.5373e-08 
 3.9811e+02 -3.0971e-02  1.9353e-08 
 5.0119e+02 -3.0971e-02  2.4364e-08 
 6.3096e+02 -3.0971e-02  3.0673e-08 
 7.9433e+02 -3.0971e-02  3.8615e-08 
 1.0000e+03 -3.0971e-02  4.8613e-08 
 1.2589e+03 -3.0971e-02  6.1200e-08 
 1.5849e+03 -3.0971e-02  7.7046e-08 
 1.9953e+03 -3.0971e-02  9.6996e-08 
 2.5119e+03 -3.0971e-02  1.2211e-07 
 3.1623e+03 -3.0971e-02  1.5373e-07 
 3.9811e+03 -3.0971e-02  1.9353e-07 
 5.0119e+03 -3.0971e-02  2.4364e-07 
 6.3096e+03 -3.0971e-02  3.0673e-07 
 7.9433e+03 -3.0971e-02  3.8615e-07 
 1.0000e+04 -3.0971e-02  4.8613e-07 
 1.2589e+04 -3.0971e-02  6.1200e-07 
 1.5849e+04 -3.0971e-02  7.7046e-07 
 1.9953e+04 -3.0971e-02  9.6996e-07 
 2.5119e+04 -3.0971e-02  1.2211e-06 
 3.1623e+04 -3.0971e-02  1.5373e-06 
 3.9811e+04 -3.0971e-02  1.9353e-06 
 5.0119e+04 -3.0971e-02  2.4364e-06 
 6.3096e+04 -3.0971e-02  3.0673e-06 
 7.9433e+04 -3.0971e-02  3.8615e-06 
 1.0000e+05 -3.0971e-02  4.8613e-06 
 1.2589e+05 -3.0971e-02  6.1200e-06 
 1.5849e+05 -3.0971e-02  7.7046e-06 
 1.9953e+05 -3.0971e-02  9.6996e-06 
 2.5119e+05 -3.0971e-02  1.2211e-05 
 3.1623e+05 -3.0971e-02  1.5373e-05 
 3.9811e+05 -3.0971e-02  1.9353e-05 
 5.0119e+05 -3.0971e-02  2.4364e-05 
 6.3096e+05 -3.0971e-02  3.0673e-05 
 7.9433e+05 -3.0971e-02  3.8615e-05 
 1.0000e+06 -3.0971e-02  4.8613e-05 
 1.2589e+06 -3.0971e-02  6.1200e-05 
 1.5849e+06 -3.0971e-02  7.7046e-05 
 1.9953e+06 -3.0971e-02  9.6995e-05 
 2.5119e+06 -3.0971e-02  1.2211e-04 
 3.1623e+06 -3.0970e-02  1.5373e-04 
 3.9811e+06 -3.0970e-02  1.9353e-04 
 5.0119e+06 -3.0969e-02  2.4363e-04 
 6.3096e+06 -3.0968e-02  3.0671e-04 
 7.9433e+06 -3.0967e-02  3.8610e-04 
 1.0000e+07 -3.0965e-02  4.8604e-04 
 1.2589e+07 -3.0961e-02  6.1183e-04 
 1.5849e+07 -3.0955e-02  7.7012e-04 
 1.9953e+07 -3.0945e-02  9.6927e-04 
 2.5119e+07 -3.0930e-02  1.2197e-03 
 3.1623e+07 -3.0906e-02  1.5345e-03 
 3.9811e+07 -3.0868e-02  1.9299e-03 
 5.0119e+07 -3.0809e-02  2.4256e-03 
 6.3096e+07 -3.0715e-02  3.0457e-03 
 7.9433e+07 -3.0566e-02  3.8186e-03 
 1.0000e+08 -3.0334e-02  4.7763e-03 
 1.2589e+08 -2.9971e-02  5.9521e-03 
 1.5849e+08 -2.9411e-02  7.3748e-03 
 1.9953e+08 -2.8560e-02  9.0576e-03 
 2.5119e+08 -2.7292e-02  1.0978e-02 
 3.1623e+08 -2.5465e-02  1.3050e-02 
 3.9811e+08 -2.2953e-02  1.5094e-02 
 5.0119e+08 -1.9713e-02  1.6835e-02 
 6.3096e+08 -1.5859e-02  1.7950e-02 
 7.9433e+08 -1.1696e-02  1.8186e-02 
 1.0000e+09 -7.6414e-03  1.7485e-02 
 1.2589e+09 -4.0709e-03  1.6014e-02 
 1.5849e+09 -1.1956e-03  1.4080e-02 
 1.9953e+09  9.5770e-04  1.1993e-02 
 2.5119e+09  2.4843e-03  9.9818e-03 
 3.1623e+09  3.5249e-03  8.1754e-03 
 3.9811e+09  4.2155e-03  6.6239e-03 
 5.0119e+09  4.6656e-03  5.3288e-03 
 6.3096e+09  4.9556e-03  4.2672e-03 
 7.9433e+09  5.1410e-03  3.4069e-03 
 1.0000e+10  5.2590e-03  2.7149e-03 
