 frequency      v(net29_sense) v(net29_sense) frequency      v(net29_gate)  v(net29_gate) 
 1.0000000e+00 -1.0559924e-01 -1.4302678e-07  1.0000000e+00  1.0000000e+00  3.6834496e-17 
 1.2589254e+00 -1.0559924e-01 -1.1282868e-07  1.2589254e+00  1.0000000e+00  2.9258680e-17 
 1.5848932e+00 -1.0559924e-01 -8.8639118e-08  1.5848932e+00  1.0000000e+00  2.3240996e-17 
 1.9952623e+00 -1.0559924e-01 -6.9169913e-08  1.9952623e+00  1.0000000e+00  1.8460979e-17 
 2.5118864e+00 -1.0559924e-01 -5.3384258e-08  2.5118864e+00  1.0000000e+00  1.4664077e-17 
 3.1622777e+00 -1.0559924e-01 -4.0441509e-08  3.1622777e+00  1.0000000e+00  1.1648090e-17 
 3.9810717e+00 -1.0559924e-01 -2.9652418e-08  3.9810717e+00  1.0000000e+00  9.2524071e-18 
 5.0118723e+00 -1.0559924e-01 -2.0442427e-08  5.0118723e+00  1.0000000e+00  7.3494482e-18 
 6.3095734e+00 -1.0559924e-01 -1.2321069e-08  6.3095734e+00  1.0000000e+00  5.8378742e-18 
 7.9432823e+00 -1.0559924e-01 -4.8558535e-09  7.9432823e+00  1.0000000e+00  4.6371883e-18 
 1.0000000e+01 -1.0559924e-01  2.3507704e-09  1.0000000e+01  1.0000000e+00  3.6834496e-18 
 1.2589254e+01 -1.0559924e-01  9.6825813e-09  1.2589254e+01  1.0000000e+00  2.9258680e-18 
 1.5848932e+01 -1.0559924e-01  1.7530025e-08  1.5848932e+01  1.0000000e+00  2.3240996e-18 
 1.9952623e+01 -1.0559924e-01  2.6311006e-08  1.9952623e+01  1.0000000e+00  1.8460979e-18 
 2.5118864e+01 -1.0559924e-01  3.6493145e-08  2.5118864e+01  1.0000000e+00  1.4664077e-18 
 3.1622777e+01 -1.0559924e-01  4.8618676e-08  3.1622777e+01  1.0000000e+00  1.1648090e-18 
 3.9810717e+01 -1.0559924e-01  6.3333330e-08  3.9810717e+01  1.0000000e+00  9.2524071e-19 
 5.0118723e+01 -1.0559924e-01  8.1420714e-08  5.0118723e+01  1.0000000e+00  7.3494482e-19 
 6.3095734e+01 -1.0559924e-01  1.0384405e-07  6.3095734e+01  1.0000000e+00  5.8378742e-19 
