 time        v(VOUT1)   
 0.0000e+00  1.2398e-02 
 1.0000e-12  1.2398e-02 
 2.0000e-12  1.2398e-02 
 4.0000e-12  1.2398e-02 
 8.0000e-12  1.2398e-02 
 1.6000e-11  1.2398e-02 
 3.2000e-11  1.2398e-02 
 6.4000e-11  1.2398e-02 
 1.2800e-10  1.2398e-02 
 2.2800e-10  1.2398e-02 
 3.2800e-10  1.2398e-02 
 4.2800e-10  1.2398e-02 
 5.2800e-10  1.2398e-02 
 6.2800e-10  1.2398e-02 
 7.2800e-10  1.2398e-02 
 8.2800e-10  1.2398e-02 
 9.2800e-10  1.2398e-02 
 1.0280e-09  1.2398e-02 
 1.1280e-09  1.2398e-02 
 1.2280e-09  1.2398e-02 
 1.3280e-09  1.2398e-02 
 1.4280e-09  1.2398e-02 
 1.5280e-09  1.2398e-02 
 1.6280e-09  1.2398e-02 
 1.7280e-09  1.2398e-02 
 1.8280e-09  1.2398e-02 
 1.9280e-09  1.2398e-02 
 2.0280e-09  1.2398e-02 
 2.1280e-09  1.2398e-02 
 2.2280e-09  1.2398e-02 
 2.3280e-09  1.2398e-02 
 2.4280e-09  1.2398e-02 
 2.5280e-09  1.2398e-02 
 2.6280e-09  1.2398e-02 
 2.7280e-09  1.2398e-02 
 2.8280e-09  1.2398e-02 
 2.9280e-09  1.2398e-02 
 3.0280e-09  1.2398e-02 
 3.1280e-09  1.2398e-02 
 3.2280e-09  1.2398e-02 
 3.3280e-09  1.2398e-02 
 3.4280e-09  1.2398e-02 
 3.5280e-09  1.2398e-02 
 3.6280e-09  1.2398e-02 
 3.7280e-09  1.2398e-02 
 3.8280e-09  1.2398e-02 
 3.9280e-09  1.2398e-02 
 4.0280e-09  1.2398e-02 
 4.1280e-09  1.2398e-02 
 4.2280e-09  1.2398e-02 
 4.3280e-09  1.2398e-02 
 4.4280e-09  1.2398e-02 
 4.5280e-09  1.2398e-02 
 4.6280e-09  1.2398e-02 
 4.7280e-09  1.2398e-02 
 4.8280e-09  1.2398e-02 
 4.9280e-09  1.2398e-02 
 5.0280e-09  1.2398e-02 
 5.1280e-09  1.2398e-02 
 5.2280e-09  1.2398e-02 
 5.3280e-09  1.2398e-02 
 5.4280e-09  1.2398e-02 
 5.5280e-09  1.2398e-02 
 5.6280e-09  1.2398e-02 
 5.7280e-09  1.2398e-02 
 5.8280e-09  1.2398e-02 
 5.9280e-09  1.2398e-02 
 6.0280e-09  1.2398e-02 
 6.1280e-09  1.2398e-02 
 6.2280e-09  1.2398e-02 
 6.3280e-09  1.2398e-02 
 6.4280e-09  1.2398e-02 
 6.5280e-09  1.2398e-02 
 6.6280e-09  1.2398e-02 
 6.7280e-09  1.2398e-02 
 6.8280e-09  1.2398e-02 
 6.9280e-09  1.2398e-02 
 7.0280e-09  1.2398e-02 
 7.1280e-09  1.2398e-02 
 7.2280e-09  1.2398e-02 
 7.3280e-09  1.2398e-02 
 7.4280e-09  1.2398e-02 
 7.5280e-09  1.2398e-02 
 7.6280e-09  1.2398e-02 
 7.7280e-09  1.2398e-02 
 7.8280e-09  1.2398e-02 
 7.9280e-09  1.2398e-02 
 8.0280e-09  1.2398e-02 
 8.1280e-09  1.2398e-02 
 8.2280e-09  1.2398e-02 
 8.3280e-09  1.2398e-02 
 8.4280e-09  1.2398e-02 
 8.5280e-09  1.2398e-02 
 8.6280e-09  1.2398e-02 
 8.7280e-09  1.2398e-02 
 8.8280e-09  1.2398e-02 
 8.9280e-09  1.2398e-02 
 9.0280e-09  1.2398e-02 
 9.1280e-09  1.2398e-02 
 9.2280e-09  1.2398e-02 
 9.3280e-09  1.2398e-02 
 9.4280e-09  1.2398e-02 
 9.5280e-09  1.2398e-02 
 9.6280e-09  1.2398e-02 
 9.7280e-09  1.2398e-02 
 9.8280e-09  1.2398e-02 
 9.9280e-09  1.2398e-02 
 1.0000e-08  1.2398e-02 
 1.0010e-08  1.2399e-02 
 1.0030e-08  1.2392e-02 
 1.0070e-08  1.2312e-02 
 1.0150e-08  1.1911e-02 
 1.0250e-08  1.1041e-02 
 1.0350e-08  9.9047e-03 
 1.0450e-08  8.6686e-03 
 1.0550e-08  7.4759e-03 
 1.0650e-08  6.4214e-03 
 1.0750e-08  5.5475e-03 
 1.0850e-08  4.8555e-03 
 1.0950e-08  4.3221e-03 
 1.1000e-08  4.1056e-03 
 1.1010e-08  4.0570e-03 
 1.1030e-08  3.9665e-03 
 1.1070e-08  3.8202e-03 
 1.1150e-08  3.6272e-03 
 1.1250e-08  3.5025e-03 
 1.1350e-08  3.4448e-03 
 1.1450e-08  3.4181e-03 
 1.1550e-08  3.4057e-03 
 1.1650e-08  3.4000e-03 
 1.1750e-08  3.3974e-03 
 1.1850e-08  3.3961e-03 
 1.1950e-08  3.3956e-03 
 1.2050e-08  3.3953e-03 
 1.2150e-08  3.3952e-03 
 1.2250e-08  3.3951e-03 
 1.2350e-08  3.3951e-03 
 1.2450e-08  3.3951e-03 
 1.2550e-08  3.3951e-03 
 1.2650e-08  3.3951e-03 
 1.2750e-08  3.3951e-03 
 1.2850e-08  3.3951e-03 
 1.2950e-08  3.3951e-03 
 1.3050e-08  3.3951e-03 
 1.3150e-08  3.3951e-03 
 1.3250e-08  3.3951e-03 
 1.3350e-08  3.3951e-03 
 1.3450e-08  3.3951e-03 
 1.3550e-08  3.3951e-03 
 1.3650e-08  3.3951e-03 
 1.3750e-08  3.3951e-03 
 1.3850e-08  3.3951e-03 
 1.3950e-08  3.3951e-03 
 1.4050e-08  3.3951e-03 
 1.4150e-08  3.3951e-03 
 1.4250e-08  3.3951e-03 
 1.4350e-08  3.3951e-03 
 1.4450e-08  3.3951e-03 
 1.4550e-08  3.3951e-03 
 1.4650e-08  3.3951e-03 
 1.4750e-08  3.3951e-03 
 1.4850e-08  3.3951e-03 
 1.4950e-08  3.3951e-03 
 1.5050e-08  3.3951e-03 
 1.5150e-08  3.3951e-03 
 1.5250e-08  3.3951e-03 
 1.5350e-08  3.3951e-03 
 1.5450e-08  3.3951e-03 
 1.5550e-08  3.3951e-03 
 1.5650e-08  3.3951e-03 
 1.5750e-08  3.3951e-03 
 1.5850e-08  3.3951e-03 
 1.5950e-08  3.3951e-03 
 1.6050e-08  3.3951e-03 
 1.6150e-08  3.3951e-03 
 1.6250e-08  3.3951e-03 
 1.6350e-08  3.3951e-03 
 1.6450e-08  3.3951e-03 
 1.6550e-08  3.3951e-03 
 1.6650e-08  3.3951e-03 
 1.6750e-08  3.3951e-03 
 1.6850e-08  3.3951e-03 
 1.6950e-08  3.3951e-03 
 1.7050e-08  3.3951e-03 
 1.7150e-08  3.3951e-03 
 1.7250e-08  3.3951e-03 
 1.7350e-08  3.3951e-03 
 1.7450e-08  3.3951e-03 
